state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
36,081,0124,88101,4,40.73614,-73.82153,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,2022-01-01,Micrograms/cubic meter (LC),No Events,24,100.0,Y,8.166667,17.4,0,,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2023-02-01
36,081,0124,88101,4,40.73614,-73.82153,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2006,2022-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,8.1,8.1,0,34.0,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2023-02-05
36,081,0124,88101,4,40.73614,-73.82153,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2006,2022-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,8.1,8.1,0,34.0,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2023-02-05
36,081,0124,88101,4,40.73614,-73.82153,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2012,2022-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,8.1,8.1,0,34.0,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2023-02-05
36,081,0124,88101,4,40.73614,-73.82153,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,2022-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,8.1,8.1,0,34.0,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2023-02-05
36,081,0124,88101,4,40.73614,-73.82153,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 1997,2022-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,8.1,8.1,0,34.0,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2023-02-05
36,081,0124,88101,4,40.73614,-73.82153,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2022-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,8.1,8.1,0,34.0,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2023-02-05
36,081,0124,88101,4,40.73614,-73.82153,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,2022-01-02,Micrograms/cubic meter (LC),No Events,24,100.0,Y,6.6875,12.3,8,,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2023-02-01
36,081,0124,88101,4,40.73614,-73.82153,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2006,2022-01-02,Micrograms/cubic meter (LC),No Events,1,100.0,Y,6.6,6.6,0,28.0,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2023-02-05
36,081,0124,88101,4,40.73614,-73.82153,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2006,2022-01-02,Micrograms/cubic meter (LC),No Events,1,100.0,Y,6.6,6.6,0,28.0,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2023-02-05
